# v, l=0
0.000335463 -6.47511
0.000352662 -6.47511
0.000370744 -6.47511
0.000389752 -6.47511
0.000409735 -6.47511
0.000430743 -6.47511
0.000452827 -6.47511
0.000476044 -6.4751
0.000500451 -6.4751
0.00052611 -6.4751
0.000553084 -6.4751
0.000581442 -6.4751
0.000611253 -6.4751
0.000642592 -6.4751
0.000675539 -6.47509
0.000710174 -6.47509
0.000746586 -6.47509
0.000784864 -6.47509
0.000825105 -6.47508
0.000867409 -6.47508
0.000911882 -6.47507
0.000958635 -6.47507
0.00100779 -6.47507
0.00105946 -6.47506
0.00111378 -6.47505
0.00117088 -6.47505
0.00123091 -6.47504
0.00129402 -6.47503
0.00136037 -6.47503
0.00143012 -6.47502
0.00150344 -6.475
0.00158052 -6.47499
0.00166156 -6.47498
0.00174675 -6.47497
0.0018363 -6.47495
0.00193045 -6.47493
0.00202943 -6.47491
0.00213348 -6.47489
0.00224287 -6.47487
0.00235786 -6.47484
0.00247875 -6.47481
0.00260584 -6.47478
0.00273944 -6.47475
0.0028799 -6.47471
0.00302755 -6.47467
0.00318278 -6.47462
0.00334597 -6.47457
0.00351752 -6.47451
0.00369786 -6.47445
0.00388746 -6.47438
0.00408677 -6.4743
0.0042963 -6.47421
0.00451658 -6.47412
0.00474815 -6.47401
0.00499159 -6.4739
0.00524752 -6.47377
0.00551656 -6.47363
0.0057994 -6.47347
0.00609675 -6.4733
0.00640933 -6.4731
0.00673795 -6.47289
0.00708341 -6.47266
0.00744658 -6.4724
0.00782838 -6.47212
0.00822975 -6.4718
0.0086517 -6.47145
0.00909528 -6.47107
0.0095616 -6.47064
0.0100518 -6.47017
0.0105672 -6.46965
0.011109 -6.46908
0.0116786 -6.46844
0.0122773 -6.46774
0.0129068 -6.46696
0.0135686 -6.46611
0.0142642 -6.46516
0.0149956 -6.46412
0.0157644 -6.46296
0.0165727 -6.46168
0.0174224 -6.46027
0.0183156 -6.45872
0.0192547 -6.457
0.0202419 -6.45509
0.0212797 -6.45299
0.0223708 -6.45067
0.0235177 -6.44811
0.0247235 -6.44528
0.0259911 -6.44215
0.0273237 -6.4387
0.0287246 -6.43489
0.0301974 -6.43068
0.0317456 -6.42603
0.0333733 -6.4209
0.0350844 -6.41524
0.0368832 -6.40899
0.0387742 -6.4021
0.0407622 -6.39449
0.0428521 -6.38609
0.0450492 -6.37684
0.0473589 -6.36663
0.0497871 -6.35538
0.0523397 -6.34297
0.0550232 -6.32931
0.0578443 -6.31426
0.0608101 -6.29769
0.0639279 -6.27945
0.0672055 -6.25939
0.0706512 -6.23732
0.0742736 -6.21307
0.0780817 -6.18644
0.082085 -6.1572
0.0862936 -6.12512
0.090718 -6.08997
0.0953692 -6.05147
0.100259 -6.00935
0.105399 -5.96332
0.110803 -5.91307
0.116484 -5.85828
0.122456 -5.79863
0.128735 -5.73378
0.135335 -5.66341
0.142274 -5.58718
0.149569 -5.50479
0.157237 -5.41593
0.165299 -5.32034
0.173774 -5.21778
0.182684 -5.10808
0.19205 -4.99114
0.201897 -4.86691
0.212248 -4.73548
0.22313 -4.59701
0.23457 -4.45183
0.246597 -4.30038
0.25924 -4.14327
0.272532 -3.98127
0.286505 -3.8153
0.301194 -3.64645
0.316637 -3.47594
0.332871 -3.30513
0.349938 -3.13541
0.367879 -2.96825
0.386741 -2.80507
0.40657 -2.64721
0.427415 -2.49585
0.449329 -2.35199
0.472367 -2.21633
0.496585 -2.08931
0.522046 -1.97105
0.548812 -1.8614
0.57695 -1.75993
0.606531 -1.66604
0.637628 -1.57902
0.67032 -1.4981
0.704688 -1.42254
0.740818 -1.35166
0.778801 -1.28489
0.818731 -1.22179
0.860708 -1.16199
0.904837 -1.10523
0.951229 -1.05129
1 -1.00001
1.05127 -0.951231
1.10517 -0.904838
1.16183 -0.860708
1.2214 -0.818731
1.28403 -0.778801
1.34986 -0.740818
1.41907 -0.704688
1.49182 -0.67032
1.56831 -0.637628
1.64872 -0.606531
1.73325 -0.57695
1.82212 -0.548812
1.91554 -0.522046
2.01375 -0.496585
2.117 -0.472367
2.22554 -0.449329
2.33965 -0.427415
2.4596 -0.40657
2.58571 -0.386741
2.71828 -0.367879
2.85765 -0.349938
3.00417 -0.332871
3.15819 -0.316637
3.32012 -0.301194
3.49034 -0.286505
3.6693 -0.272532
3.85743 -0.25924
4.0552 -0.246597
4.26311 -0.23457
4.48169 -0.22313
4.71147 -0.212248
4.95303 -0.201897
5.20698 -0.19205
5.47395 -0.182684
5.7546 -0.173774
6.04965 -0.165299
6.35982 -0.157237
6.68589 -0.149569
7.02869 -0.142274
7.38906 -0.135335
7.7679 -0.128735
8.16617 -0.122456
8.58486 -0.116484
9.02501 -0.110803
9.48774 -0.105399
9.97418 -0.100259
10.4856 -0.0953692
11.0232 -0.090718
11.5883 -0.0862936
12.1825 -0.082085
12.8071 -0.0780817
13.4637 -0.0742736
14.154 -0.0706512
14.8797 -0.0672055
15.6426 -0.0639279
16.4446 -0.0608101
17.2878 -0.0578443
18.1741 -0.0550232
19.106 -0.0523397
20.0855 -0.0497871
21.1153 -0.0473589
22.198 -0.0450492
23.3361 -0.0428521
24.5325 -0.0407622
25.7903 -0.0387742
27.1126 -0.0368832
28.5027 -0.0350844
29.9641 -0.0333733
31.5004 -0.0317456
